id,filename,location,category,relevance_score
7,"(재)동북아지석묘연구소,+2010,+고속국도+제10호선+목포-광양+간(장흥~보성)+건설공사구간+내+문화유적+발굴조사Ⅰ.pdf",보성,보성주변유적,13.0
11,"보성-장흥간 철도개설구간 내(1,3공구) 유적 문화재 정밀발굴조사 약식보고서.hwp",보성,보성주변유적,13.0
1,보성 용산리 화촌·침동 유적 및 화방리 대실 유적(1).pdf,보성,보성주변유적,10.0
12,보성 백학제유적-본문.pdf,보성,보성주변유적,10.0
13,보성 백학제유적-사진.pdf,보성,보성주변유적,10.0
14,보성 도안리 석평유적Ⅰ.pdf,보성,보성주변유적,10.0
16,보성 도안리 석평유적Ⅱ(2지구).pdf,보성,보성주변유적,10.0
29,장흥 지천리 유적 (1)(삼국시대주거지).pdf,장흥,장흥주변유적,8.0
10,"(재)전남문화재연구원,+2008,+고속국도+제10호선+목포-광양간(장흥-광양)건설공사+구간내(제+1구간)+문화유적+발굴조사+약보고서.pdf",장흥,보성주변유적,3.0
15,"(재)영해문화유산연구원,+2012,+장흥+해당산업단지+진입도로+확·포장+공사구간+내+문화재+발굴조사+약식보고서.pdf",장흥,보성주변유적,3.0
18,장흥 봉림리 오산유적-사진.pdf,장흥,장흥주변유적,3.0
19,장흥 용반리 용서고분.pdf,장흥,장흥주변유적,3.0
20,장흥 옥당리 바우정이유적.pdf,장흥,장흥주변유적,3.0
21,장흥 봉림리 오산유적-본문.pdf,장흥,장흥주변유적,3.0
22,장흥 봉림리 121-1번지 유적.pdf,장흥,장흥주변유적,3.0
